Title,Section,Template,Type,Priority,References,Automation Type,Automation ID,Preconditions,Steps,Expected Result
LF_O_011 — Orders: Scroll filter options,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_011_ValidateScrollFilterOptions#validateScrollFilterOptions,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Partner filter
2. Scroll through option list using mouse wheel or scrollbar",Options scroll smoothly without UI error; additional options load in viewport
LF_O_012 — Orders: Pagination inside filter,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_012_ValidatePaginationWorks#validatePaginationWorks,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Partner filter
2. Use pagination controls if present
3. Navigate next/previous pages",Pagination loads next set of partner options without error
LF_O_013 — Orders: Table record count reflects filter,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_013_ValidateTableRecordCountReflectsFilter#validateTableRecordCountReflectsFilter,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Note count on an option (e.g. Done: Delivered)
3. Select that option
4. Compare to table total count label",Table total record count matches the count shown on the selected filter option (or both zero)
LF_O_014 — Orders: Table records match filter,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_014_ValidateTableRecordsMatchFilter#validateTableRecordsMatchFilter,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select one Order Status option
2. Review visible grid rows and Status column",Displayed rows match the selected filter value in the corresponding table column
LF_O_015 — Orders: Filter names match table columns,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_015_ValidateFilterNamesMatchTableColumns#validateFilterNamesMatchTableColumns,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, review left filter names
2. Open Table View / compare to grid column headers",Left filter names correspond to available table column names where applicable
LF_O_016 — Orders: Selected options in Active Filters,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_016_ValidateSelectedOptionsInActiveFilters#validateSelectedOptionsInActiveFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select one or more options in Order Status
2. Review Active Filters area above grid",Selected options appear as chips/tags in Active Filters section
LF_O_017 — Orders: Filter count inside and outside,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_017_ValidateFilterCountInsideAndOutside#validateFilterCountInsideAndOutside,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status and select options
2. Compare count inside filter vs outside accordion badge",Inside and outside selection counts are consistent
LF_LI_001 — Line Items: All left filters available,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_001_ValidateAllLeftFiltersAvailable#validateAllLeftFiltersAvailable,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. Log in to Fulfillment Console
2. Set calendar to Yesterday
3. Navigate to Line Items tab
4. Review left filter panel accordion list","All 21 filters are visible: Line Item Status, Order Status, Environment, Job type, Submitted by, Partner, Series title, Flag, Assigned To, Season number, Region, Episode number, Brand, System Name, Language, Demand system, Error message, Franchise, Delivery Protocol, Activity Type, Content type"
LF_LI_002 — Line Items: Expand and collapse filter,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_002_ValidateExpandCollapseIcon#validateExpandCollapseWorks,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, locate Order Status filter
2. Click accordion to expand
3. Verify options load
4. Click accordion to collapse",Filter expands to show options; collapses and hides options
LF_LI_003 — Line Items: Options available on expand,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_003_ValidateOptionsAvailableOnExpand#validateOptionsAvailableOnExpand,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status filter
2. Wait for options to load",Filter options are displayed (checkbox list or range inputs as applicable)
LF_LI_004 — Line Items: Options alphabetical order,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_004_ValidateOptionsAlphabeticalOrder#validateOptionsAlphabeticalOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status filter
2. Review visible option labels with counts > 0",Non-zero count options appear in alphabetical order within the visible viewport
"LF_LI_005 — Line Items: Non-zero first, divider, zero count",Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_005_ValidateNonZeroCountFirstThenDividerThenZeroCount#validateNonZeroCountFirstThenDividerThenZeroCount,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status filter
2. Review option list top to bottom",Select All at top; non-zero count options first; divider line; zero-count options last (A-Z within each group)
LF_LI_006 — Line Items: Select All at top,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_006_ValidateSelectAllOptionAtTop#validateSelectAllAtTop,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status filter
2. Check first row below search box",Select All checkbox/label is at the top of the option list
LF_LI_007 — Line Items: Select All selects all options,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_007_ValidateSelectAllSelectsAll#validateSelectAllSelectsAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status filter
2. Click Select All
3. Review checked options",All visible options are selected; selection count updates
LF_LI_008 — Line Items: Select All indeterminate state,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_008_ValidateSelectAllIndeterminateState#validateSelectAllIndeterminateState,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Select one option manually
3. Observe Select All state
4. Deselect all",Select All shows indeterminate when partially selected; deselect clears all selections
LF_LI_009 — Line Items: Search inside filter,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_009_ValidateSearchInsideFilter#validateSearchInsideFilter,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Type partial text (e.g. deliver) in filter search
3. Review results
4. Clear search",Options filter to matching labels; clear restores full list
LF_LI_010 — Line Items: Select All disabled (>1000 options),Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_010_ValidateSelectAllDisabledWhenMoreThan1000Options#validateSelectAllDisabledWhenMoreThan1000Options,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Partner filter
2. Locate Select All control",Select All is disabled or not offered when option count exceeds 1000
LF_LI_011 — Line Items: Scroll filter options,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_011_ValidateScrollFilterOptions#validateScrollFilterOptions,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Partner filter
2. Scroll through option list using mouse wheel or scrollbar",Options scroll smoothly without UI error; additional options load in viewport
LF_LI_012 — Line Items: Pagination inside filter,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_012_ValidatePaginationWorks#validatePaginationWorks,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Partner filter
2. Use pagination controls if present
3. Navigate next/previous pages",Pagination loads next set of partner options without error
LF_LI_013 — Line Items: Table record count reflects filter,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_013_ValidateTableRecordCountReflectsFilter#validateTableRecordCountReflectsFilter,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Note count on an option (e.g. Done: Delivered)
3. Select that option
4. Compare to table total count label",Table total record count matches the count shown on the selected filter option (or both zero)
LF_LI_014 — Line Items: Table records match filter,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_014_ValidateTableRecordsMatchFilter#validateTableRecordsMatchFilter,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, select one Order Status option
2. Review visible grid rows and Status column",Displayed rows match the selected filter value in the corresponding table column
LF_LI_015 — Line Items: Filter names match table columns,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_015_ValidateFilterNamesMatchTableColumns#validateFilterNamesMatchTableColumns,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, review left filter names
2. Open Table View / compare to grid column headers",Left filter names correspond to available table column names where applicable
LF_LI_016 — Line Items: Selected options in Active Filters,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_016_ValidateSelectedOptionsInActiveFilters#validateSelectedOptionsInActiveFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, select one or more options in Order Status
2. Review Active Filters area above grid",Selected options appear as chips/tags in Active Filters section
LF_LI_017 — Line Items: Filter count inside and outside,Fulfillment Console > Left Filters > Line Items > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.lineitems.LF_LI_017_ValidateFilterCountInsideAndOutside#validateFilterCountInsideAndOutside,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status and select options
2. Compare count inside filter vs outside accordion badge",Inside and outside selection counts are consistent
LF_O_TC102 — Orders Line Item Status: Option list order,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC102_LineItemStatus_OptionOrderTest#tc102_lineItemStatus_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_O_TC101 — Orders Line Item Status: Basic,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC101_LineItemStatus_BasicTest#tc101_lineItemStatus_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. Log in; set calendar to Yesterday
2. Navigate to Orders tab
3. Verify Line Item Status is visible in left panel
4. Expand Line Item Status
5. Confirm options load and Select All at top
6. Collapse filter",Line Item Status is visible; expands/collapses; options and Select All at top display correctly
LF_O_TC201 — Orders Line Item Status: Search,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC201_LineItemStatus_SearchTest#tc201_lineItemStatus_search,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Note first visible option label
3. Type into filter search box
4. Verify filtered results
5. Clear search",Search returns matching options; clear restores list
LF_O_TC401 — Orders Line Item Status: Select all,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC401_LineItemStatus_SelectAllTest#tc401_lineItemStatus_selectAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Click Select All
3. Verify all options selected and counts
4. Deselect one option — check indeterminate
5. Deselect all",Select All selects all; indeterminate on partial; counts inside/outside match
LF_O_TC601 — Orders Line Item Status: Table sync,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC601_LineItemStatus_TableSyncTest#tc601_lineItemStatus_tableSync,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Select one option with non-zero count
3. Compare filter option count to table total count
4. Verify first visible grid rows match filter column",Table record count matches filter count; grid rows reflect selected filter value
LF_O_TC801 — Orders Line Item Status: Scroll,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,3 - Medium,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC801_LineItemStatus_ScrollTest#tc801_lineItemStatus_scroll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Scroll option list vertically
3. Confirm no UI errors and options continue loading",Virtual scroll works without error; additional options appear in viewport
LF_O_TC1001 — Orders Line Item Status: Active filters,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC1001_LineItemStatus_ActiveFiltersTest#tc1001_lineItemStatus_activeFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select one option in Line Item Status
2. Select a second option (multi-select)
3. Review Active Filters chips above grid",Active Filters chips show single and multiple selections from Line Item Status
LF_O_TC1101 — Orders Line Item Status: Clear filters,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC1101_LineItemStatus_ClearFiltersTest#tc1101_lineItemStatus_clearFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select options in Line Item Status
2. Remove chip from Active Filters OR click Clear
3. Verify selections cleared and grid resets",Filter selections cleared; Active Filters empty; grid shows unfiltered data
LF_O_TC103 — Orders Order Status: Option list order,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC103_OrderStatus_OptionOrderTest#tc102_orderStatus_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_O_TC102 — Orders Order Status: Basic,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC102_OrderStatus_BasicTest#tc101_orderStatus_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. Log in; set calendar to Yesterday
2. Navigate to Orders tab
3. Verify Order Status is visible in left panel
4. Expand Order Status
5. Confirm options load and Select All at top
6. Collapse filter",Order Status is visible; expands/collapses; options and Select All at top display correctly
LF_O_TC202 — Orders Order Status: Search,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC202_OrderStatus_SearchTest#tc201_orderStatus_search,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Note first visible option label
3. Type into filter search box
4. Verify filtered results
5. Clear search",Search returns matching options; clear restores list
LF_O_TC402 — Orders Order Status: Select all,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC402_OrderStatus_SelectAllTest#tc402_orderStatus_selectAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Click Select All
3. Verify all options selected and counts
4. Deselect one option — check indeterminate
5. Deselect all",Select All selects all; indeterminate on partial; counts inside/outside match
LF_O_TC602 — Orders Order Status: Table sync,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC602_OrderStatus_TableSyncTest#tc602_orderStatus_tableSync,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Select Done: Delivered
3. Compare filter count to table total
4. Verify Status column on first rows shows Delivered",Table count matches filter count; Status cells show Delivered when count > 0
LF_O_TC802 — Orders Order Status: Scroll,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,3 - Medium,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC802_OrderStatus_ScrollTest#tc802_orderStatus_scroll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Scroll option list vertically
3. Confirm no UI errors and options continue loading",Virtual scroll works without error; additional options appear in viewport
LF_O_TC1002 — Orders Order Status: Active filters,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC1002_OrderStatus_ActiveFiltersTest#tc1002_orderStatus_activeFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select one option in Order Status
2. Select a second option (multi-select)
3. Review Active Filters chips above grid",Active Filters chips show single and multiple selections from Order Status
LF_O_TC1102 — Orders Order Status: Clear filters,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC1102_OrderStatus_ClearFiltersTest#tc1102_orderStatus_clearFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select options in Order Status
2. Remove chip from Active Filters OR click Clear
3. Verify selections cleared and grid resets",Filter selections cleared; Active Filters empty; grid shows unfiltered data
LF_O_TC104 — Orders Environment: Option list order,Fulfillment Console > Left Filters > Orders > Per Filter > Environment,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.environment.LF_O_TC104_Environment_OptionOrderTest#tc104_environment_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Environment
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_O_TC103 — Orders Environment: Basic,Fulfillment Console > Left Filters > Orders > Per Filter > Environment,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.environment.LF_O_TC103_Environment_BasicTest#tc103_environment_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. Log in; set calendar to Yesterday
2. Navigate to Orders tab
3. Verify Environment is visible in left panel
4. Expand Environment
5. Confirm options load and Select All at top
6. Collapse filter",Environment is visible; expands/collapses; options and Select All at top display correctly
